outGlobalCount,outPhase,outBreathWfm,outHeartWfm,outHeartRate_FFT,outBreathRate_FFT,outBreathRate_Peak,outHeartRate_Peak,outConfidenceMetricHeart,outConfidenceMetricBreath,outEnergyBreath,outEnergyHeart,outBreathWfm_smoothed
,,-0.2943393,118.359375,,,,,,,,,-0.2943393
,,-0.18303546,118.359375,,,,,,,,,-0.18303546
,,-0.040442705,118.359375,,,,,,,,,-0.040442705
,,0.052085996,118.359375,,,,,,,,,0.052085996
,,0.21997547,118.359375,,,,,,,,,0.21997547
,,0.4365322,118.359375,,,,,,,,,0.4365322
,,0.4244605,118.359375,,,,,,,,,0.4244605
,,0.13120821,118.359375,,,,,,,,,0.13120821
,,-0.12764929,118.359375,,,,,,,,,-0.12764929
,,-0.13238521,118.359375,,,,,,,,,-0.13238521
,,0.009765005,118.359375,,,,,,,,,0.009765005
,,0.14439346,118.359375,,,,,,,,,0.14439346
,,0.20761375,118.359375,,,,,,,,,0.20761375
,,0.12870267,118.359375,,,,,,,,,0.12870267
,,-0.035135925,118.359375,,,,,,,,,-0.035135925
,,-0.054533496,118.359375,,,,,,,,,-0.054533496
,,0.10013592,118.359375,,,,,,,,,0.10013592
,,0.15249628,118.359375,,,,,,,,,0.15249628
,,-0.02387482,118.359375,,,,,,,,,-0.02387482
,,-0.21096171,118.359375,,,,,,,,,-0.21096171
,,-0.20185387,118.359375,,,,,,,,,-0.20185387
,,-0.050897475,118.359375,,,,,,,,,-0.050897475
,,-0.001018081,118.359375,,,,,,,,,-0.001018081
,,-0.19408977,118.359375,,,,,,,,,-0.19408977
,,-0.38117257,118.359375,,,,,,,,,-0.38117257
,,-0.18820246,118.359375,,,,,,,,,-0.18820246
,,0.30451554,118.359375,,,,,,,,,0.30451554
,,0.60017663,118.359375,,,,,,,,,0.60017663
,,0.39767358,118.359375,,,,,,,,,0.39767358
,,-0.103220165,118.359375,,,,,,,,,-0.103220165
,,-0.50908995,118.359375,,,,,,,,,-0.50908995
,,-0.5831438,118.359375,,,,,,,,,-0.5831438
,,-0.2801363,118.359375,,,,,,,,,-0.2801363
,,0.17912102,118.359375,,,,,,,,,0.17912102
,,0.31925988,118.359375,,,,,,,,,0.31925988
,,-0.02113995,118.359375,,,,,,,,,-0.02113995
,,-0.30705255,118.359375,,,,,,,,,-0.30705255
,,0.026726276,118.359375,,,,,,,,,0.026726276
,,0.7099167,118.359375,,,,,,,,,0.7099167
,,,118.359375,,,,,,,,,0.7099167
,,0.22190073,118.359375,,,,,,,,,0.22190073
,,-0.5589484,118.359375,,,,,,,,,-0.5589484
,,-0.62352204,118.359375,,,,,,,,,-0.62352204
,,-0.064057864,118.359375,,,,,,,,,-0.064057864
,,0.36945593,118.359375,,,,,,,,,0.36945593
,,0.28088513,118.359375,,,,,,,,,0.28088513
,,-0.055481553,118.359375,,,,,,,,,-0.055481553
,,-0.21988125,118.359375,,,,,,,,,-0.21988125
,,-0.13235168,118.359375,,,,,,,,,-0.13235168
,,0.002443016,118.359375,,,,,,,,,0.002443016
,,0.003382385,118.359375,,,,,,,,,0.003382385
,,-0.12605847,118.359375,,,,,,,,,-0.12605847
,,-0.2425445,118.359375,,,,,,,,,-0.2425445
,,-0.22064933,118.359375,,,,,,,,,-0.22064933
,,-0.08433239,118.359375,,,,,,,,,-0.08433239
,,0.03977713,118.359375,,,,,,,,,0.03977713
,,0.080105186,118.359375,,,,,,,,,0.080105186
,,0.070450336,118.359375,,,,,,,,,0.070450336
,,0.06630839,118.359375,,,,,,,,,0.06630839
,,0.07748607,118.359375,,,,,,,,,0.07748607
,,0.08485538,118.359375,,,,,,,,,0.08485538
,,0.08300415,118.359375,,,,,,,,,0.08300415
,,0.08295505,118.359375,,,,,,,,,0.08295505
,,0.08796291,118.359375,,,,,,,,,0.08796291
,,0.07983801,118.359375,,,,,,,,,0.07983801
,,0.024235196,118.359375,,,,,,,,,0.024235196
,,-0.0762597,118.359375,,,,,,,,,-0.0762597
,,-0.13558866,118.359375,,,,,,,,,-0.13558866
