outGlobalCount,outPhase,outBreathWfm,outHeartWfm,outHeartRate_FFT,outBreathRate_FFT,outBreathRate_Peak,outHeartRate_Peak,outConfidenceMetricHeart,outConfidenceMetricBreath,outEnergyBreath,outEnergyHeart
,,-0.028332986,76.171875,,,,,,,,
,,-0.10203095,76.171875,,,,,,,,
,,-0.18360537,76.171875,,,,,,,,
,,-0.19309032,76.171875,,,,,,,,
,,-0.09134412,76.171875,,,,,,,,
,,0.07301003,76.171875,,,,,,,,
,,0.2045877,76.171875,,,,,,,,
,,0.24060297,76.171875,,,,,,,,
,,0.18919629,76.171875,,,,,,,,
,,0.09965751,76.171875,,,,,,,,
,,0.0051754117,76.171875,,,,,,,,
,,-0.0880768,76.171875,,,,,,,,
,,-0.16274083,76.171875,,,,,,,,
,,-0.1835273,76.171875,,,,,,,,
,,-0.14852437,76.171875,,,,,,,,
,,-0.11081983,76.171875,,,,,,,,
,,-0.09949298,76.171875,,,,,,,,
,,-0.060491696,76.171875,,,,,,,,
,,0.045135513,76.171875,,,,,,,,
,,0.14620942,76.171875,,,,,,,,
,,0.1513088,76.171875,,,,,,,,
,,0.07002237,76.171875,,,,,,,,
,,-0.0127218105,76.171875,,,,,,,,
,,-0.032995753,110.15625,,,,,,,,
,,0.0073098503,110.15625,,,,,,,,
,,0.06005689,110.15625,,,,,,,,
,,0.07861152,110.15625,,,,,,,,
,,0.057552077,110.15625,,,,,,,,
,,0.033175804,110.15625,,,,,,,,
,,0.017950296,110.15625,,,,,,,,
,,-0.039395545,110.15625,,,,,,,,
,,-0.12225745,110.15625,,,,,,,,
,,-0.063413456,110.15625,,,,,,,,
,,0.20057401,110.15625,,,,,,,,
,,0.4258776,110.15625,,,,,,,,
,,0.3448821,110.15625,,,,,,,,
,,0.022753358,110.15625,,,,,,,,
,,-0.24751136,110.15625,,,,,,,,
,,-0.30251795,110.15625,,,,,,,,
,,-0.2292347,110.15625,,,,,,,,
,,-0.18149659,110.15625,,,,,,,,
,,-0.18964168,110.15625,,,,,,,,
,,-0.17386836,110.15625,,,,,,,,
