accx,accy,accz,gyrx,gyry,gyrz,qw,qx,qy,qz,qyaw,qpitch,qroll,yaw,pitch,roll,gravaccx,gravaccy,gravaccz,counter
-0.15,0.90,-0.48,-1.16,-0.49,1.04,0.30,0.36,-0.77,-0.42,-123.98,-9.24,117.81,-131.49,-9.24,117.81,0.72,1.06,-0.02,303183,1721297157.4497488
-0.14,0.88,-0.47,-1.59,-0.49,0.98,0.30,0.36,-0.77,-0.42,-123.98,-9.10,117.87,-131.49,-9.10,117.87,0.73,1.03,-0.01,303184,1721297157.4597206
-0.15,0.90,-0.50,-0.06,0.00,1.10,0.30,0.37,-0.77,-0.42,-124.00,-8.98,118.01,-131.51,-8.98,118.01,0.72,1.06,-0.04,303185,1721297157.472688
-0.16,0.93,-0.46,-2.50,-0.79,1.53,0.30,0.37,-0.77,-0.42,-123.95,-8.96,117.79,-131.46,-8.96,117.79,0.71,1.08,-0.00,303186,1721297157.4906397
-0.17,0.92,-0.44,-3.05,-1.10,1.40,0.30,0.36,-0.77,-0.42,-123.90,-8.98,117.51,-131.41,-8.98,117.51,0.71,1.08,0.01,303187,1721297157.5026076
-0.15,0.89,-0.50,2.75,0.79,0.49,0.30,0.37,-0.77,-0.42,-123.95,-8.88,117.78,-131.46,-8.88,117.78,0.73,1.04,-0.04,303188,1721297157.5170822
-0.13,0.92,-0.49,-1.83,-0.61,1.95,0.30,0.37,-0.77,-0.42,-123.94,-8.64,117.83,-131.45,-8.64,117.83,0.74,1.07,-0.03,303189,1721297157.5230687
-0.16,0.96,-0.46,-4.27,-1.59,2.26,0.30,0.37,-0.77,-0.43,-123.88,-8.64,117.48,-131.39,-8.64,117.48,0.72,1.11,0.00,303190,1721297157.5340388
-0.16,0.91,-0.48,2.32,0.43,0.00,0.30,0.37,-0.77,-0.43,-123.89,-8.63,117.57,-131.40,-8.63,117.57,0.72,1.06,-0.03,303191,1721297157.541021
-0.16,0.90,-0.51,-1.28,-0.92,1.34,0.30,0.37,-0.77,-0.42,-123.91,-8.60,117.81,-131.42,-8.60,117.81,0.72,1.05,-0.04,303192,1721297157.5549848
-0.15,0.94,-0.45,-2.75,-1.04,1.71,0.30,0.37,-0.77,-0.43,-123.85,-8.53,117.45,-131.36,-8.53,117.45,0.73,1.09,0.01,303193,1721297157.5589728
-0.13,0.89,-0.48,1.65,0.18,0.24,0.30,0.37,-0.77,-0.43,-123.86,-8.39,117.55,-131.37,-8.39,117.55,0.74,1.04,-0.02,303194,1721297157.565954
-0.15,0.91,-0.47,-0.85,-0.55,1.22,0.30,0.37,-0.77,-0.43,-123.85,-8.40,117.54,-131.36,-8.40,117.54,0.72,1.05,-0.01,303195,1721297157.5669518
-0.14,0.92,-0.47,-1.77,-0.79,1.28,0.30,0.37,-0.77,-0.43,-123.83,-8.32,117.44,-131.34,-8.32,117.44,0.74,1.06,-0.01,303196,1721297157.5749347
-0.16,0.92,-0.44,-1.04,-0.98,0.55,0.30,0.37,-0.77,-0.43,-123.79,-8.40,117.23,-131.30,-8.40,117.23,0.72,1.06,0.01,303197,1721297157.580915
-0.17,0.90,-0.49,1.77,-0.31,-0.12,0.30,0.37,-0.77,-0.43,-123.81,-8.53,117.41,-131.32,-8.53,117.41,0.71,1.04,-0.03,303198,1721297157.583906
-0.16,0.89,-0.50,0.85,-0.61,0.24,0.30,0.37,-0.77,-0.43,-123.85,-8.56,117.70,-131.36,-8.56,117.70,0.72,1.04,-0.05,303199,1721297157.586899
-0.14,0.91,-0.47,-1.53,-0.98,0.79,0.30,0.37,-0.77,-0.43,-123.83,-8.47,117.64,-131.34,-8.47,117.64,0.73,1.06,-0.01,303200,1721297157.5878956
-0.14,0.91,-0.44,-1.10,-1.16,0.24,0.30,0.37,-0.77,-0.43,-123.79,-8.39,117.44,-131.30,-8.39,117.44,0.74,1.06,0.01,303201,1721297157.588893
-0.15,0.90,-0.50,2.38,-0.31,-0.55,0.30,0.37,-0.77,-0.43,-123.82,-8.39,117.65,-131.33,-8.39,117.65,0.72,1.04,-0.04,303202,1721297157.5958736
-0.15,0.92,-0.48,-0.31,-1.16,0.24,0.30,0.37,-0.77,-0.43,-123.81,-8.38,117.64,-131.32,-8.38,117.64,0.72,1.07,-0.02,303203,1721297157.602857
-0.14,0.92,-0.45,-1.04,-1.40,-0.06,0.30,0.37,-0.77,-0.43,-123.76,-8.31,117.40,-131.27,-8.31,117.40,0.74,1.07,0.01,303204,1721297157.6118348
-0.14,0.89,-0.50,2.87,-0.18,-0.79,0.30,0.37,-0.77,-0.43,-123.81,-8.27,117.71,-131.32,-8.27,117.71,0.73,1.03,-0.04,303205,1721297157.6213222
-0.14,0.92,-0.49,-1.40,-1.46,0.49,0.30,0.37,-0.77,-0.43,-123.80,-8.21,117.75,-131.31,-8.21,117.75,0.73,1.06,-0.03,303206,1721297157.6332884
-0.18,0.92,-0.47,-0.18,-1.22,-0.31,0.30,0.37,-0.77,-0.43,-123.77,-8.41,117.63,-131.28,-8.41,117.63,0.70,1.07,-0.01,303207,1721297157.6392732
-0.20,0.92,-0.48,1.77,-0.73,-0.49,0.30,0.37,-0.77,-0.42,-123.77,-8.72,117.65,-131.28,-8.72,117.65,0.68,1.07,-0.02,303208,1721297157.6482487
-0.19,0.91,-0.50,0.61,-1.22,-0.12,0.30,0.37,-0.77,-0.42,-123.79,-8.93,117.80,-131.30,-8.93,117.80,0.68,1.06,-0.04,303209,1721297157.6562283
-0.20,0.95,-0.48,-0.61,-1.40,0.61,0.30,0.37,-0.77,-0.42,-123.75,-9.16,117.68,-131.26,-9.16,117.68,0.67,1.11,-0.02,303210,1721297157.6662006
-0.18,0.90,-0.46,1.10,-0.85,0.00,0.30,0.37,-0.77,-0.42,-123.74,-9.29,117.62,-131.25,-9.29,117.62,0.69,1.07,-0.01,303211,1721297157.6731825
-0.19,0.90,-0.51,4.03,0.24,-0.37,0.30,0.36,-0.77,-0.42,-123.78,-9.46,117.90,-131.29,-9.46,117.90,0.68,1.06,-0.04,303212,1721297157.6821578
-0.18,0.92,-0.50,-0.92,-1.10,1.28,0.30,0.36,-0.77,-0.42,-123.78,-9.50,117.95,-131.29,-9.50,117.95,0.69,1.09,-0.04,303213,1721297157.6961217
-0.17,0.93,-0.47,0.67,-0.73,0.67,0.30,0.36,-0.77,-0.42,-123.75,-9.45,117.84,-131.26,-9.45,117.84,0.70,1.09,-0.01,303214,1721297157.7001097
-0.19,0.91,-0.49,1.53,-0.49,0.61,0.31,0.36,-0.77,-0.42,-123.75,-9.57,117.93,-131.26,-9.57,117.93,0.68,1.08,-0.03,303215,1721297157.711084
-0.19,0.90,-0.49,1.04,-0.61,1.16,0.31,0.36,-0.77,-0.42,-123.76,-9.69,118.03,-131.27,-9.69,118.03,0.68,1.07,-0.03,303216,1721297157.7185812
-0.18,0.93,-0.49,0.43,-0.61,1.04,0.31,0.36,-0.77,-0.42,-123.74,-9.68,117.97,-131.25,-9.68,117.97,0.69,1.10,-0.02,303217,1721297157.72656
-0.20,0.90,-0.47,-0.12,-1.04,0.67,0.31,0.36,-0.77,-0.42,-123.72,-9.90,117.91,-131.23,-9.90,117.91,0.67,1.07,-0.01,303218,1721297157.737531
-0.20,0.88,-0.53,3.17,0.12,0.43,0.31,0.36,-0.78,-0.41,-123.79,-10.04,118.34,-131.30,-10.04,118.34,0.67,1.05,-0.06,303219,1721297157.7485018
-0.19,0.89,-0.51,-0.49,-1.04,1.46,0.31,0.36,-0.78,-0.41,-123.81,-10.12,118.53,-131.32,-10.12,118.53,0.67,1.07,-0.04,303220,1721297157.7564797
-0.19,0.93,-0.45,-1.89,-1.46,1.46,0.31,0.36,-0.78,-0.42,-123.73,-10.17,118.18,-131.24,-10.17,118.18,0.67,1.11,0.01,303221,1721297157.7674508
-0.19,0.89,-0.47,1.95,-0.55,0.31,0.31,0.36,-0.78,-0.42,-123.72,-10.27,118.17,-131.23,-10.27,118.17,0.67,1.07,-0.01,303222,1721297157.7764268
-0.18,0.89,-0.50,0.12,-0.61,1.04,0.31,0.36,-0.78,-0.41,-123.74,-10.21,118.31,-131.25,-10.21,118.31,0.69,1.06,-0.03,303223,1721297157.7953768
-0.19,0.90,-0.48,-0.73,-0.92,1.34,0.31,0.36,-0.78,-0.41,-123.72,-10.22,118.28,-131.23,-10.22,118.28,0.68,1.08,-0.02,303224,1721297157.804358
-0.18,0.88,-0.47,0.06,-0.55,0.79,0.31,0.36,-0.78,-0.41,-123.71,-10.19,118.23,-131.22,-10.19,118.23,0.69,1.06,0.00,303225,1721297157.8218255
-0.20,0.85,-0.51,1.46,0.12,0.92,0.31,0.36,-0.78,-0.41,-123.76,-10.36,118.57,-131.27,-10.36,118.57,0.66,1.03,-0.03,303226,1721297157.830801
-0.20,0.90,-0.48,-2.75,-1.22,2.14,0.31,0.36,-0.78,-0.41,-123.73,-10.41,118.46,-131.24,-10.41,118.46,0.67,1.08,-0.01,303227,1721297157.8407748
-0.20,0.89,-0.45,-0.85,-0.67,1.28,0.31,0.36,-0.78,-0.41,-123.68,-10.51,118.26,-131.19,-10.51,118.26,0.67,1.07,0.01,303228,1721297157.8567321
-0.22,0.89,-0.48,1.10,0.12,1.16,0.31,0.36,-0.78,-0.41,-123.68,-10.74,118.29,-131.19,-10.74,118.29,0.65,1.08,-0.02,303229,1721297157.8607323
-0.21,0.88,-0.49,-1.10,-0.67,1.53,0.31,0.36,-0.78,-0.41,-123.69,-10.88,118.39,-131.20,-10.88,118.39,0.65,1.07,-0.03,303230,1721297157.8826623
-0.20,0.91,-0.47,-1.34,-0.37,1.83,0.31,0.36,-0.78,-0.41,-123.65,-10.91,118.23,-131.16,-10.91,118.23,0.66,1.10,-0.00,303231,1721297157.8896441
-0.18,0.86,-0.47,0.73,0.67,1.46,0.31,0.36,-0.78,-0.41,-123.66,-10.83,118.30,-131.17,-10.83,118.30,0.68,1.05,-0.01,303232,1721297157.9036102
-0.21,0.86,-0.49,1.83,1.04,1.71,0.31,0.36,-0.78,-0.41,-123.70,-11.01,118.50,-131.21,-11.01,118.50,0.65,1.05,-0.02,303233,1721297157.9155777
-0.18,0.90,-0.47,-1.95,0.18,2.99,0.31,0.36,-0.78,-0.41,-123.67,-10.84,118.38,-131.18,-10.84,118.38,0.69,1.09,-0.01,303234,1721297157.9270642
-0.18,0.89,-0.45,-1.40,0.18,2.32,0.31,0.36,-0.78,-0.41,-123.62,-10.71,118.16,-131.13,-10.71,118.16,0.69,1.08,0.01,303235,1721297157.9280612
